agency,id,tag,tf_idf,most_similar_id,most_similar_agency,KL,SCS,WMD,time_diff,agency_match
fardaNews,132453,New,0,0,0,,0,10000,10000000,0
fardaNews,132454,New,0.201332717,132453,fardaNews,42.0898,0.396858779,4.179115408,120,1
khabaronline,122118,New,0.176418048,132453,fardaNews,41.5468,0.564313388,3.65904971,8040,0
khabaronline,122126,New,0.230987729,132453,fardaNews,42.3051,0.495858226,3.894391083,11340,0
khabaronline,122137,New,0.150257864,122126,khabaronline,55.4644,0.321730299,4.338918681,4080,1
khabaronline,122140,New,0.06833176,122137,khabaronline,55.5738,0.402551155,4.203867887,1080,1
fardaNews,132475,New,0.153987488,122137,khabaronline,51.8617,0.423970743,3.984159042,18780,0
fardaNews,132477,New,0.277563844,122118,khabaronline,42.4006,0.688124638,3.232984201,27840,0
fardaNews,132479,New,0.106776308,132475,fardaNews,0,0.291492812,4.434265936,3300,1
fardaNews,132481,New,0.087507689,132453,fardaNews,47.5766,0.595679216,3.452664256,39300,1
khabaronline,122156,Old,0.542348961,132479,fardaNews, -nan,0.307254792,3.914157687,1800,0
fardaNews,132482,New,0.051310297,122140,khabaronline,0,0.528378471,3.408035448,23160,0
khabaronline,122158,New,0.176473434,122137,khabaronline,53.5336,0.412693357,3.782977586,24300,1
khabaronline,122160,Old,0.790504063,132477,fardaNews,37.6073,0.549129954,4.041002586,4140,0
fardaNews,132500,New,0.056078844,122126,khabaronline,0,0.424662969,3.742726155,33840,0
fardaNews,132505,New,0.18324512,122160,khabaronline,43.7263,0.365859966,4.236788491,6660,0
khabaronline,122166,New,0.109829912,122118,khabaronline,0,0.31057885,4.851126057,39660,1
khabaronline,122168,New,0.407029114,132475,fardaNews,51.958,0.509200242,2.431851209,13560,0
fardaNews,132513,New,0.212163412,122168,khabaronline,50.6321,0.508221643,3.254044644,1440,0
khabaronline,122188,Old,1,132505,fardaNews,0,0.726933524,2.236565064,4920,0
khabaronline,122197,Old,0.106924986,132475,fardaNews,52.6082,0.618005446,1.91376223,20280,0
fardaNews,132531,New,0.164363379,132479,fardaNews,0,0.443201154,3.527215558,18420,1
fardaNews,132533,New,0.267075176,122166,khabaronline, -nan,0.478484352,3.459594753,8820,0
fardaNews,132534,New,0.097895095,132475,fardaNews,55.3712,0.297009411,4.314406993,22380,1
fardaNews,132542,New,0.334067147,132479,fardaNews,0,0.42990815,3.795571669,20460,1
khabaronline,122245,Old,0.429024965,132533,fardaNews,0,0.958096103,0.451308186,4800,0
khabaronline,122265,New,0.148830303,132513,fardaNews,56.0443,0.760887228,2.545994346,14100,0
fardaNews,132597,New,0.189347144,132475,fardaNews,0,0.690153626,3.434709927,35220,1
fardaNews,132602,New,0.103727772,132534,fardaNews,0,0.571237679,3.676022449,15900,1
fardaNews,132614,New,0.30448579,132531,fardaNews,0,0.457433367,3.639359317,20040,1
fardaNews,132623,New,0.223694694,132542,fardaNews,0,0.381529355,4.110633024,22440,1
fardaNews,132789,New,0.156875499,132533,fardaNews,0,0.632051815,3.493744956,105240,1
fardaNews,132862,New,0.179448879,122160,khabaronline,49.8884,0.44757404,3.737681086,177720,0
fardaNews,132863,New,0.245870722,132862,fardaNews,53.2608,0.446463859,3.43166587,540,1
fardaNews,132885,New,0.197543745,132614,fardaNews, -nan,0.526076302,3.451090042,148200,1
fardaNews,132923,New,0.300308239,122160,khabaronline,53.784,0.698248389,3.172552559,195780,0
khabaronline,122902,Old,0.426212168,132923,fardaNews,53.2123,0.996022923,0.108661801,9840,0
fardaNews,132986,New,0.206774727,132477,fardaNews,0,0.536070398,3.85212176,217920,1
fardaNews,133035,Old,0.15370752,132923,fardaNews,0,0.773251034,2.610060879,75240,1
fardaNews,133115,New,0.209150432,122160,khabaronline,0,0.483581646,3.910084766,349260,0
fardaNews,133238,New,0.201801409,122126,khabaronline,41.5391,0.592823155,3.423923022,478200,0
khabaronline,123719,New,0.133835606,122160,khabaronline,46.3985,0.474699522,3.717388415,533820,1
fardaNews,133447,New,0.273864005,132475,fardaNews,0,0.458196469,3.764900347,544260,1
khabaronline,123751,New,0.259344896,122160,khabaronline,0,0.384559439,3.832966311,549060,1
tabnak,143027,New,0.307512843,122902,khabaronline,48.367,0.639314514,3.334602224,451800,0
khabaronline,124227,New,0.192522158,132986,fardaNews, -nan,0.593415369,3.234701748,486180,0
tabnak,143103,New,0.099299897,122156,khabaronline,0,0.507752356,3.578851235,703620,0
fardaNews,133867,Old,1,143027,tabnak,0,0.998978399,0.011213516,59040,0
tabnak,143219,New,0.157183599,132862,fardaNews,51.1047,0.61927673,3.424585512,548640,0
tabnak,143243,New,0.323089305,132533,fardaNews,0,0.661631469,3.307975379,720720,0
tabnak,143353,New,0.27416199,132505,fardaNews,48.6322,0.587154795,3.440049165,783840,0
tabnak,143852,New,0.248653085,122140,khabaronline,0,0.701398059,3.017926265,1188480,0
tabnak,143901,New,0.124934617,143103,tabnak,0,0.615434873,3.49317273,467460,1
tabnak,144475,New,0.146776385,133447,fardaNews,0,0.598802723,3.557612402,891480,0
tabnak,144569,New,0,132453,fardaNews,0,0.637692897,3.447556797,1486260,0
tabnak,144783,New,0.135561828,143103,tabnak,0,0.581051551,3.464796127,904620,1
tabnak,145204,New,0.105084423,133238,fardaNews,52.3595,0.587879106,3.308998683,1329060,0
tabnak,145260,New,0.2189782,132542,fardaNews, -nan,0.421931399,3.700752579,1772820,0
fardaNews,135589,New,0.230496831,143901,tabnak, -nan,0.686308917,3.299124255,770940,0
tabnak,145590,New,0,132453,fardaNews,0,0.625054839,3.303922063,1982220,0
tabnak,145608,New,0.131339076,133115,fardaNews,0,0.570309471,3.460817389,1595580,0
khabaronline,127367,New,0.217374405,123719,khabaronline,0,0.61706731,3.247949055,1416840,1
tabnak,145649,Old,0.174215627,143103,tabnak,0,0.560646755,3.341385323,1248000,1
fardaNews,135705,Old,0.13394199,132505,fardaNews,52.0162,0.703829675,3.120521292,2114160,1
fardaNews,138489,New,0.258921314,143243,tabnak, -nan,0.571835055,3.585447843,3141360,0
tabnak,149979,Old,1,138489,fardaNews,54.7065,0.984972615,0.218215288,12960,0
tabnak,151663,New,0.470028058,143027,tabnak,0,0.557703386,3.438731356,4006500,1
tabnak,153978,New,0.151869444,132513,fardaNews,0,0.543421878,3.449231171,5636760,0
tabnak,171150,New,0.345135169,132885,fardaNews,0,0.573257262,2.844237062,13580320,0
tabnak,174746,New,0.233209576,138489,fardaNews,0,0.702751839,2.692887551,11295340,0
tabnak,175772,New,0.191459197,132986,fardaNews,0,0.532845801,3.651807949,15400300,0
fardaNews,156866,New,0,132453,fardaNews,47.5309,0.708225399,2.992518268,17668480,1
khabaronline,165990,New,0.122885108,122137,khabaronline,55.2668,0.75040132,1.970469178,17795440,1
tabnak,193795,New,0.159573551,133238,fardaNews,0,0.623812074,3.205120225,22173340,0
fardaNews,163576,Old,0.917200303,193795,tabnak,0,0.971783325,0.60075181,900,0
tabnak,212871,New,0.305183475,143027,tabnak,0,0.590782597,2.715460288,29339560,1
fardaNews,181798,New,0.337309532,151663,tabnak,0,0.679487643,2.97969288,26805760,0
tabnak,218232,Old,0.232583491,132789,fardaNews,0,0.803538698,2.563446135,31348060,0
